layer,head,p_faithful,delta
0,0,1.1547823312655641e-12,4.2320302593700686e-14
0,1,6.26816466340369e-13,-4.856455623314945e-13
0,2,1.0193371807757197e-12,-9.312484789614374e-14
0,3,1.1317865535966273e-12,1.9324524924763877e-14
0,4,9.0325318293612e-13,-2.092088457357435e-13
0,5,1.2286316586008188e-12,1.1616962992895532e-13
0,6,1.0324376170641777e-12,-8.00244116076858e-14
0,7,9.920164900397824e-13,-1.2044553863208111e-13
0,8,1.4630614110449857e-12,3.505993823731223e-13
0,9,9.589346801440974e-13,-1.535273485277661e-13
0,10,1.004511504147317e-12,-1.079505245245465e-13
0,11,7.697173712866124e-13,-3.427446573852511e-13
0,12,5.814675549698481e-13,-5.309944737020154e-13
0,13,1.0123244740000645e-12,-1.0013755467179921e-13
0,14,1.0469555132027314e-12,-6.550651546913209e-14
0,15,1.039744483968044e-12,-7.271754470381953e-14
1,0,1.081036552151436e-12,-3.1425476520427454e-14
1,1,1.056637634742203e-12,-5.5824393929660536e-14
1,2,1.0828923839258517e-12,-2.956964474601173e-14
1,3,1.1301576930641313e-12,1.7695664392267675e-14
1,4,1.1601992469259965e-12,4.7737218254132856e-14
1,5,1.172643914823254e-12,6.01818861513904e-14
1,6,1.049547360762118e-12,-6.29146679097455e-14
1,7,1.09637245119405e-12,-1.608957747781361e-14
1,8,1.0842996933103018e-12,-2.8162335361561704e-14
1,9,1.1274405937048405e-12,1.4978565032977064e-14
1,10,1.0124805879558899e-12,-9.998144071597339e-14
1,11,1.101375981213487e-12,-1.1086047458376748e-14
1,12,1.1795912462867312e-12,6.712921761486777e-14
1,13,1.075137561657555e-12,-3.732446701430874e-14
1,14,1.119257924394162e-12,6.7958957222984565e-15
1,15,1.159245124369899e-12,4.678309569803548e-14
2,0,1.1883009705657802e-12,7.583894189391677e-14
2,1,1.0668687275995281e-12,-4.559330107233536e-14
2,2,1.1449449254733862e-12,3.2482896801522735e-14
2,3,1.2102697945230994e-12,9.78077658512359e-14
2,4,1.1704655575427373e-12,5.800352887087384e-14
2,5,1.1023894862609521e-12,-1.0072542410911346e-14
2,6,1.1125475670663924e-12,8.553839452888803e-17
2,7,1.1004442646700649e-12,-1.2017764001798611e-14
2,8,1.1539163205098337e-12,4.1454291837970046e-14
2,9,1.1435964913890756e-12,3.1134462717212096e-14
2,10,1.116930237555183e-12,4.468208883319438e-15
2,11,1.1689791005173698e-12,5.6517071845506324e-14
2,12,1.1763683321619826e-12,6.390630349011912e-14
2,13,1.095955729906427e-12,-1.6506298765436755e-14
2,14,1.111431913566698e-12,-1.0301151051654657e-15
2,15,1.0689947252989218e-12,-4.3467303372941714e-14
3,0,1.0628961023134449e-12,-4.9565926358418617e-14
3,1,1.1278573807767985e-12,1.5395352104935003e-14
3,2,1.200036528344983e-12,8.757449967311925e-14
3,3,1.2103546956450797e-12,9.789266697321608e-14
3,4,1.1742696147824502e-12,6.180758611058672e-14
3,5,1.1272854338433973e-12,1.482340517153387e-14
3,6,1.136074093683393e-12,2.3612065011529477e-14
3,7,1.1304024996753731e-12,1.794047100350968e-14
3,8,1.2492234017042186e-12,1.3676137303235513e-13
3,9,1.1554153536731725e-12,4.295332500130906e-14
3,10,1.0913694607081304e-12,-2.109256796373305e-14
3,11,1.2076510562925572e-12,9.518902762069372e-14
3,12,1.1047991501371856e-12,-7.662878534677895e-15
3,13,1.1199900577664357e-12,7.528029094572043e-15
3,14,1.2115536975636628e-12,9.909166889179936e-14
3,15,1.1657411836965314e-12,5.3279155024667903e-14
4,0,1.053915828947384e-12,-5.85461997244794e-14
4,1,1.1068862106669443e-12,-5.5758180049191555e-15
4,2,1.177049611146121e-12,6.458758247425744e-14
4,3,1.2363776918179724e-12,1.239156631461089e-13
4,4,1.1774210594787764e-12,6.495903080691291e-14
4,5,1.1884604635843444e-12,7.599843491248088e-14
4,6,1.1299006457421706e-12,1.743861707030716e-14
4,7,1.1453067041891518e-12,3.2844675517288344e-14
4,8,1.0168874084947283e-12,-9.557462017713516e-14
4,9,1.2815981734170817e-12,1.6913614474521825e-13
4,10,1.1047199436652923e-12,-7.742085006571196e-15
4,11,1.0712106194709473e-12,-4.12514092009162e-14
4,12,1.1604766241800427e-12,4.80145955081792e-14
