layer,head,attrib_contrastive,attrib_ln_scaled,attrib_deceptive_only,pct_of_norm_v
29,6,0.522088885307312,0.17696860432624817,0.30906906723976135,4.878320212495026
28,11,0.5017215013504028,0.16997945308685303,0.19545699656009674,4.688010432630334
29,1,0.4761192202568054,0.16232392191886902,-0.14161944389343262,4.44878655934033
29,5,0.3983965516090393,0.13423269987106323,-0.16780447959899902,3.7225576046475446
29,2,0.3762038052082062,0.12821464240550995,0.11383408308029175,3.5151919119758177
28,10,0.3161545395851135,0.10736781358718872,0.12587600946426392,2.954100583509429
26,8,0.3087325394153595,0.10517330467700958,0.15114019811153412,2.884750527486037
27,0,0.267378568649292,0.09081277996301651,0.24314270913600922,2.4983452292075867
28,8,0.2670081853866577,0.09080411493778229,0.0992959514260292,2.494884423572134
27,1,0.2139856070280075,0.07265755534172058,0.2920675277709961,1.999449406652838
29,10,0.20745804905891418,0.07100893557071686,-0.11670991033315659,1.9384568843544228
28,14,0.2049514800310135,0.06957562267780304,0.1629132181406021,1.9150358794318139
27,10,0.19566044211387634,0.06635554134845734,0.3132304549217224,1.828221815118706
27,6,0.19225868582725525,0.06515071541070938,-0.03308000788092613,1.796436314760395
29,11,0.16971245408058167,0.05770215392112732,-0.2230326533317566,1.5857677080524515
27,4,0.15103104710578918,0.05078831687569618,-0.035717811435461044,1.4112114441524215
24,5,0.11601129919290543,0.03965376317501068,0.13255859911441803,1.0839921738564393
27,12,0.11182601749897003,0.03808028995990753,0.19781048595905304,1.044885529648734
28,3,0.11002521961927414,0.03718819469213486,0.18772117793560028,1.028059144444292
28,12,0.10666525363922119,0.036312054842710495,0.06445969641208649,0.9966641264405284
29,3,0.10570982098579407,0.03602169081568718,0.013600406236946583,0.9877367070756288
27,7,0.10213350504636765,0.03470483049750328,0.014764797873795033,0.9543201475116329
28,2,0.09195578098297119,0.03145478665828705,0.26566457748413086,0.8592210208821915
28,9,0.08981018513441086,0.03070356696844101,0.061127495020627975,0.8391728951885824
24,7,0.08585408329963684,0.029258009046316147,0.19893980026245117,0.8022076731997885
26,10,0.08058114349842072,0.02760312147438526,0.09646841138601303,0.7529381148248749
27,5,0.07691521942615509,0.02630683407187462,0.07819036394357681,0.7186842703120219
28,6,0.06497732549905777,0.022375788539648056,0.14625492691993713,0.6071383805639552
26,11,0.05265584588050842,0.017805255949497223,0.3757891356945038,0.49200832366639463
29,8,0.051741208881139755,0.017715826630592346,0.012900225818157196,0.48346209277222496
26,5,0.04948626831173897,0.016738709062337875,0.015149712562561035,0.4623922664126619
28,5,0.047632284462451935,0.016215842217206955,0.1544203907251358,0.4450689194881385
27,9,0.04531918093562126,0.015377050265669823,0.060633134096860886,0.42345562718085333
25,8,0.040823597460985184,0.013903344050049782,0.09895949810743332,0.3814495696905338
26,0,0.03920658677816391,0.013272777199745178,-0.07302910089492798,0.36634046447910185
26,13,0.0369061641395092,0.012760861776769161,0.08187343925237656,0.34484566048835075
24,6,0.0347273051738739,0.011742962524294853,-0.06766784191131592,0.3244867292194383
29,4,0.03264820575714111,0.010738395154476166,-0.020936204120516777,0.30505993620800675
26,4,0.02972714975476265,0.010250536724925041,0.0656745508313179,0.27776602718359794
27,14,0.02686593309044838,0.009164474904537201,-0.01346482615917921,0.25103124795604176
28,13,0.025062546133995056,0.008506113663315773,0.09255238622426987,0.2341806708068313
29,7,0.02429787814617157,0.008037455379962921,0.11772022396326065,0.22703572785587864
26,12,0.024010829627513885,0.008308392949402332,0.05935182794928551,0.22435358956498153
24,4,0.022757800295948982,0.007754147984087467,0.05229540541768074,0.21264547148960025
27,11,0.021777689456939697,0.007450290024280548,0.12332338094711304,0.20348746286122257
24,0,0.02162940800189972,0.007220469415187836,-0.18446938693523407,0.20210194319279692
27,13,0.020790696144104004,0.007172040641307831,0.16605068743228912,0.19426514543002565
21,5,0.017300531268119812,0.005829226225614548,-0.06470920145511627,0.16165356847712434
28,0,0.015630975365638733,0.005296001210808754,-0.088807113468647,0.1460534886168344
21,11,0.01521085575222969,0.005127785727381706,-0.05526814982295036,0.14212795398195596
22,7,0.011947423219680786,0.004029359668493271,0.11132863909006119,0.11163493002823537
24,2,0.011874675750732422,0.003971848636865616,-0.13630305230617523,0.1109551885930777
23,8,0.0097342012450099,0.003321212949231267,0.011270232498645782,0.0909549159585623
29,9,0.009532563388347626,0.003258761717006564,-0.000677100382745266,0.08907084207872717
23,6,0.009440820664167404,0.003162570297718048,-0.05736685171723366,0.0882136118286438
23,2,0.009283304214477539,0.0031692450866103172,0.041907403618097305,0.08674180175578577
3,4,0.007592329755425453,0.00254129059612751,-0.026812070980668068,0.07094159011643812
28,1,0.007092478685081005,0.0024168279487639666,0.01780964434146881,0.06627105671049656
11,2,0.007052059751003981,0.00241405563428998,0.01126990094780922,0.06589338825475193
18,13,0.006885997951030731,0.0023843683302402496,0.08917665481567383,0.06434173171095102
16,3,0.006385672837495804,0.0021386072039604187,-0.048858076333999634,0.05966676891656088
8,0,0.00637165829539299,0.002169804647564888,-0.0549975223839283,0.05953581913782966
22,2,0.006284728646278381,0.0020642951130867004,-0.19516204297542572,0.058723561539027726
21,12,0.00624394416809082,0.0022628307342529297,0.25790825486183167,0.058342477493958794
22,8,0.005804163403809071,0.0019615618512034416,0.017837243154644966,0.054233232015194484
21,1,0.0055918097496032715,0.0017774105072021484,-0.20791184902191162,0.052249031330861666
20,8,0.005482420325279236,0.0018009580671787262,-0.04087955132126808,0.051226912962264275
26,1,0.005266663618385792,0.0018167535308748484,0.0016864081844687462,0.049210914664196484
8,14,0.005194689147174358,0.0017472857143729925,-0.009828813374042511,0.048538396003915664
20,9,0.004865730181336403,0.0016355706611648202,-0.003083079354837537,0.04546465278261694
16,5,0.004862725734710693,0.001652158796787262,0.14266973733901978,0.04543657968411967
25,10,0.004848778247833252,0.001589842140674591,-0.10560382157564163,0.045306256459353676
12,2,0.004843771457672119,0.001612205058336258,-0.12506060302257538,0.04525947376328383
22,1,0.004645928740501404,0.0015176646411418915,-0.053278014063835144,0.04341086109745254
15,3,0.004400802310556173,0.001491969684138894,0.004957190249115229,0.0411204365136871
22,0,0.004369974136352539,0.001555066555738449,0.17386238276958466,0.040832382679245896
4,8,0.004368586465716362,0.001466649118810892,-0.014113422483205795,0.040819416493021184
6,1,0.004346102476119995,0.0015365034341812134,0.1635194569826126,0.04060932946762718
6,4,0.004115790128707886,0.0013323184102773666,-0.08940797299146652,0.03845732544841437
18,2,0.004044383764266968,0.0013551432639360428,-0.07102222740650177,0.037790115092561125
21,10,0.003756597638130188,0.0013924799859523773,0.15073567628860474,0.03510108470804657
8,3,0.00369986891746521,0.0011638738214969635,-0.12502415478229523,0.0345710200534695
25,14,0.0036570243537425995,0.0013087964616715908,0.024176711216568947,0.03417068687824683
6,5,0.003639146452769637,0.0012301250826567411,0.000884651206433773,0.03400363845387355
22,12,0.0035955924540758133,0.0012273108586668968,0.030928954482078552,0.03359667642472022
20,11,0.0035712718963623047,0.001109294593334198,-0.1850338578224182,0.03336942878238989
23,11,0.003567565232515335,0.001230243593454361,0.051823630928993225,0.03333479427153461
12,10,0.003501221537590027,0.0010827481746673584,-0.17620664834976196,0.032714888740055556
8,5,0.003496399149298668,0.0011873627081513405,-0.02978857420384884,0.03266982906739007
23,7,0.0034515410661697388,0.0011102594435214996,-0.13764679431915283,0.032250681868933956
20,5,0.003422962501645088,0.0011426378041505814,0.00061824667500332,0.031983648049812075
12,6,0.003400251269340515,0.0011312924325466156,-0.04844854399561882,0.031771437702647044
23,12,0.003369241952896118,0.0011683814227581024,0.05529654398560524,0.031481691302285904
