layer,head,proj_v30
26,11,0.3757891356945038
23,3,0.32107922434806824
27,10,0.3132304549217224
29,6,0.30906906723976135
27,1,0.2920675277709961
20,10,0.2709819972515106
28,2,0.26566457748413086
21,12,0.25790825486183167
27,0,0.24314270913600922
7,5,0.2302003651857376
17,10,0.19949503242969513
24,7,0.19893980026245117
27,12,0.19781048595905304
28,11,0.19545699656009674
11,10,0.19233845174312592
14,6,0.19112920761108398
28,3,0.18772117793560028
17,7,0.1821344494819641
16,2,0.17809812724590302
22,0,0.17386238276958466
5,2,0.16959768533706665
27,13,0.16605068743228912
6,1,0.1635194569826126
28,14,0.1629132181406021
28,5,0.1544203907251358
19,6,0.15185801684856415
26,8,0.15114019811153412
21,10,0.15073567628860474
28,6,0.14625492691993713
16,5,0.14266973733901978
24,14,0.13996903598308563
12,11,0.1372700333595276
11,11,0.13724613189697266
24,5,0.13255859911441803
25,0,0.13253647089004517
12,8,0.13006830215454102
28,10,0.12587600946426392
27,11,0.12332338094711304
10,3,0.1212964877486229
17,5,0.12109121680259705
8,12,0.11805945634841919
29,7,0.11772022396326065
29,2,0.11383408308029175
15,9,0.11190447211265564
22,7,0.11132863909006119
28,8,0.0992959514260292
25,8,0.09895949810743332
26,10,0.09646841138601303
18,6,0.0950205996632576
9,4,0.09333407878875732
17,8,0.09315705299377441
28,13,0.09255238622426987
0,12,0.08971104025840759
18,13,0.08917665481567383
19,3,0.08592680096626282
16,9,0.08465948700904846
23,10,0.0831882432103157
26,13,0.08187343925237656
6,0,0.08160378783941269
24,8,0.07993470877408981
27,5,0.07819036394357681
19,12,0.0745721161365509
21,14,0.07379143685102463
24,9,0.07347919791936874
9,9,0.0721793994307518
21,6,0.06794662773609161
14,12,0.06705016642808914
26,4,0.0656745508313179
7,15,0.06559840589761734
6,6,0.0654023289680481
28,12,0.06445969641208649
24,12,0.06444347649812698
13,0,0.06433525681495667
15,6,0.06430011242628098
25,9,0.06156477704644203
28,9,0.061127495020627975
27,9,0.060633134096860886
10,9,0.06059745326638222
26,12,0.05935182794928551
24,10,0.05875880643725395
1,1,0.05820062384009361
23,12,0.05529654398560524
22,15,0.05518772080540657
11,13,0.05463951826095581
11,1,0.05443646386265755
15,8,0.05427124723792076
15,4,0.05344768241047859
25,12,0.05296504497528076
17,12,0.05285368859767914
24,4,0.05229540541768074
19,14,0.0519077442586422
23,11,0.051823630928993225
22,11,0.050947174429893494
7,11,0.04972554370760918
29,13,0.049359407275915146
18,12,0.04888534173369408
7,9,0.04718597233295441
18,0,0.04660513997077942
19,7,0.04614461585879326
13,1,0.044238198548555374
4,6,0.04420919343829155
22,13,0.04384751245379448
9,1,0.04205101728439331
23,2,0.041907403618097305
6,11,0.04188021644949913
1,0,0.04180249199271202
5,6,0.04131456837058067
28,7,0.04125456511974335
27,3,0.04093657806515694
3,6,0.040096379816532135
16,10,0.040079645812511444
20,15,0.0399387888610363
25,6,0.03941360116004944
22,10,0.038975078612565994
20,6,0.03862011805176735
18,8,0.03832674399018288
1,6,0.0375945121049881
25,11,0.036681100726127625
14,8,0.03571458160877228
3,2,0.03569882735610008
9,13,0.03557398170232773
8,2,0.03527887165546417
14,0,0.03346102312207222
0,14,0.03201993554830551
1,3,0.0319938026368618
1,7,0.031325485557317734
0,10,0.031232735142111778
22,12,0.030928954482078552
0,11,0.030377311632037163
1,9,0.02878822572529316
4,13,0.027640588581562042
8,8,0.027405589818954468
15,14,0.02686278708279133
19,5,0.026661956682801247
18,7,0.026650628075003624
17,13,0.02613929472863674
17,9,0.025328785181045532
7,4,0.025148266926407814
3,9,0.025079743936657906
25,14,0.024176711216568947
4,3,0.02377168834209442
1,2,0.02353711985051632
5,14,0.022794680669903755
13,7,0.02277086116373539
21,2,0.0222688689827919
0,13,0.02189570665359497
10,5,0.02152605913579464
20,2,0.021506212651729584
1,15,0.021359004080295563
1,5,0.019415317103266716
0,15,0.01901314966380596
13,5,0.01898912526667118
4,7,0.018210899084806442
1,11,0.018030529841780663
6,9,0.017914345487952232
22,8,0.017837243154644966
28,1,0.01780964434146881
5,3,0.01753820851445198
4,9,0.01709774136543274
13,3,0.01707305572926998
8,1,0.016130534932017326
6,12,0.016096942126750946
10,8,0.015849174931645393
20,1,0.015546550042927265
18,1,0.015191424638032913
26,5,0.015149712562561035
14,11,0.01501088123768568
1,12,0.014900111593306065
1,8,0.014791811816394329
27,7,0.014764797873795033
10,13,0.014757453463971615
2,7,0.014106945134699345
25,7,0.013975105248391628
29,3,0.013600406236946583
26,14,0.013318207114934921
29,8,0.012900225818157196
8,10,0.01289681252092123
18,5,0.01258475985378027
16,11,0.012399591505527496
1,4,0.012342131696641445
10,0,0.012167704291641712
17,15,0.011990919709205627
5,13,0.0115409716963768
23,8,0.011270232498645782
11,2,0.01126990094780922
0,8,0.011216633953154087
27,15,0.010376707650721073
0,6,0.009972975589334965
0,9,0.009961278177797794
2,2,0.009841588325798512
9,6,0.009260720573365688
0,4,0.008902416564524174
0,7,0.008848455734550953
3,0,0.00851481780409813
20,13,0.007967261597514153
8,13,0.007367508951574564
4,15,0.007320247124880552
23,14,0.007118047680705786
3,8,0.006806815508753061
6,14,0.006785151083022356
15,1,0.006265238393098116
25,3,0.006091862916946411
1,14,0.005596436094492674
15,3,0.004957190249115229
13,9,0.004589230287820101
27,2,0.004336087498813868
14,15,0.004239604342728853
3,7,0.004221686627715826
